sample	group	experiment	mineral_type	total_Ln_supply_mol	biotic_supernatant_lightLn_ug_per_L	biotic_supernatant_heavyLn_ug_per_L
Bas.1	Bas	Ln_compounds	carbonate	4.70E-06	5.06	0.136
Bas.2	Bas	Ln_compounds	carbonate	4.70E-06	2.118	0.035
Bas.3	Bas	Ln_compounds	carbonate	4.70E-06	2.994	0.101
Gad.1	Gad	Ln_compounds	silicate	1.24E-06	883.22	1360.46
Gad.2	Gad	Ln_compounds	silicate	1.24E-06	840.35	1329.92
Gad.3	Gad	Ln_compounds	silicate	1.24E-06	813.115	1301.2
Lop.1	Lop	Ln_compounds	oxide	5.96E-06	0	0.071
Lop.2	Lop	Ln_compounds	oxide	5.96E-06	0	0.02
Lop.3	Lop	Ln_compounds	oxide	5.96E-06	0	0.058
MinLaCl.1	MinLaCl	Ln_compounds	chloride	0.00000014	9.44	0
MinLaCl.2	MinLaCl	Ln_compounds	chloride	0.00000014	4.387	0.197
MinLaCl.3	MinLaCl	Ln_compounds	chloride	0.00000014	3.68	0
Mon.1	Mon	Ln_compounds	phosphate	1.61E-05	0	0.041
Mon.2	Mon	Ln_compounds	phosphate	1.61E-05	0	0.157
Mon.3	Mon	Ln_compounds	phosphate	1.61E-05	0	0.073
Xen.1	Xen	Ln_compounds	phosphate	4.83E-06	0	0.48
Xen.2	Xen	Ln_compounds	phosphate	4.83E-06	0	0.942
Xen.3	Xen	Ln_compounds	phosphate	4.83E-06	0	0.817
Ferro.3	Ferro	Ln_compounds	ferrocerium	0.000770547	1366.85	0.031
LaCl.1	LaCl	La_forms	chloride	0.00000014	9.44	0
LaCl.2	LaCl	La_forms	chloride	0.00000014	4.387	0.197
LaCl.3	LaCl	La_forms	chloride	0.00000014	3.68	0
LaOx.1	LaOx	La_forms	oxide	0.00000014	0.049	0
LaOx.2	LaOx	La_forms	oxide	0.00000014	0.419	0
LaOx.3	LaOx	La_forms	oxide	0.00000014	0.056	0
LaP.1	LaP	La_forms	phosphate	0.00000014	0	0
LaP.2	LaP	La_forms	phosphate	0.00000014	0	0
LaP.3	LaP	La_forms	phosphate	0.00000014	0	0
